date;xmr_open;xmr_high;xmr_low;xmr_close;xmr_adj_close;xmr_volume;eth_open;eth_high;eth_low;eth_close;eth_adj_close;eth_volume;btc_open;btc_high;btc_low;btc_close;btc_adj_close;btc_volume
2022.05.24;185.141983;196.028412;183.759048;193.093155;193.093155;202501485;1972.390869;1991.535522;1920.688110;1978.982788;1978.982788;13057109007;29101.125000;29774.355469;28786.589844;29655.585938;29655.585938;26616506245
2022.05.25;193.076172;204.687637;191.706802;203.915436;203.915436;233415550;1978.677002;2014.369507;1943.938599;1944.827881;1944.827881;13364545730;29653.134766;30157.785156;29384.949219;29562.361328;29562.361328;27525063551
2022.05.26;203.981812;205.312851;186.712738;189.537628;189.537628;221102783;1945.033325;1962.171143;1759.199585;1803.913330;1803.913330;23458681818;29564.777344;29834.160156;28261.906250;29267.224609;29267.224609;36774325352
2022.05.27;189.394302;190.399338;176.364014;180.348709;180.348709;192810405;1802.543823;1814.656494;1721.264771;1724.922852;1724.922852;25470760032;29251.140625;29346.943359;28326.613281;28627.574219;28627.574219;36582005748
2022.05.28;180.641724;183.910568;174.626740;175.686432;175.686432;123133749;1724.635986;1757.941772;1724.635986;1757.941772;1757.941772;23214777872;28622.625000;28814.900391;28554.566406;28814.900391;28814.900391;35519577634
2022.05.29;175.723297;188.052734;168.163483;186.072708;186.072708;140346374;1792.184448;1818.776611;1765.937378;1812.031006;1812.031006;10642556101;29019.867188;29498.009766;28841.107422;29445.957031;29445.957031;18093886409
2022.05.30;186.033188;208.470840;183.227173;204.209229;204.209229;243363621;1811.885986;2005.210815;1804.456055;1996.441284;1996.441284;19580808705;29443.365234;31949.630859;29303.572266;31726.390625;31726.390625;39277993274
2022.05.31;204.186325;207.546143;192.073608;198.539825;198.539825;247436888;1996.408081;2005.490967;1932.352051;1942.328003;1942.328003;18363115560;31723.865234;32249.863281;31286.154297;31792.310547;31792.310547;33538210634
2022.06.01;198.493774;202.984650;193.244949;198.623413;198.623413;219916192;1942.050659;1965.166626;1776.053223;1823.569336;1823.569336;21037797760;31792.554688;31957.285156;29501.587891;29799.080078;29799.080078;41135817341
2022.06.02;198.611115;203.555237;192.589096;201.395355;201.395355;173374488;1822.412109;1845.313965;1789.664185;1834.150513;1834.150513;17065041354;29794.890625;30604.734375;29652.705078;30467.488281;30467.488281;29083562061
2022.06.03;201.407700;202.556488;187.720245;193.975327;193.975327;148020353;1834.135010;1840.058838;1746.509766;1775.078613;1775.078613;14878001811;30467.806641;30633.035156;29375.689453;29704.390625;29704.390625;26175547452
2022.06.04;193.970932;195.448547;188.742310;189.132324;189.132324;113008467;1775.220825;1810.299683;1751.533325;1801.609497;1801.609497;8677951273;29706.138672;29930.564453;29500.005859;29832.914063;29832.914063;16588370958
2022.06.05;189.131348;191.646973;186.074738;187.984100;187.984100;110884734;1801.818970;1825.859619;1777.133301;1805.204956;1805.204956;8850385937;29835.117188;30117.744141;29574.449219;29906.662109;29906.662109;17264085441
2022.06.06;188.019363;195.081192;187.850098;189.512115;189.512115;125922144;1805.635986;1915.030518;1804.990234;1859.289673;1859.289673;16518471852;29910.283203;31693.291016;29894.187500;31370.671875;31370.671875;31947336829
2022.06.07;189.511169;195.058685;180.165359;187.567703;187.567703;131781619;1859.333740;1862.914917;1729.413574;1814.048340;1814.048340;24020076750;31371.742188;31489.683594;29311.683594;31155.478516;31155.478516;40770974039
2022.06.08;187.518097;189.468292;182.344833;186.441544;186.441544;106713695;1814.100708;1830.676025;1770.231201;1793.572266;1793.572266;18041476023;31151.480469;31253.691406;29944.404297;30214.355469;30214.355469;30242059107
2022.06.09;186.409546;189.503403;182.488190;185.379852;185.379852;91177653;1793.512817;1827.293091;1779.867554;1789.826050;1789.826050;12013083393;30215.279297;30609.310547;30020.265625;30111.998047;30111.998047;21692004719
2022.06.10;185.368454;186.088364;172.917206;173.876312;173.876312;152125139;1789.689941;1797.607788;1663.433960;1665.042236;1665.042236;18504740451;30110.330078;30245.808594;28978.146484;29083.804688;29083.804688;29867476527
2022.06.11;173.877502;177.861816;161.247849;166.095139;166.095139;122297730;1665.217896;1679.314209;1507.038940;1529.663452;1529.663452;21127089064;29084.666016;29401.916016;28236.212891;28360.810547;28360.810547;27246574439
2022.06.12;166.163635;166.767990;152.637405;159.041138;159.041138;143153711;1530.189697;1539.705078;1436.183960;1445.216553;1445.216553;23465074882;28373.513672;28502.685547;26762.648438;26762.648438;26762.648438;34163220274
2022.06.13;158.803116;159.142120;129.250809;132.093994;132.093994;196432477;1443.835449;1448.738037;1181.948242;1204.582764;1204.582764;45162788786;26737.578125;26795.589844;22141.257813;22487.388672;22487.388672;68204556440
2022.06.14;132.110703;133.811630;116.556953;119.284096;119.284096;192462966;1204.555298;1252.471802;1094.701904;1211.662842;1211.662842;33327826525;22487.986328;23018.951172;20950.818359;22206.792969;22206.792969;50913575242
2022.06.15;119.108261;119.122215;104.415947;118.001060;118.001060;194933079;1211.365967;1236.627563;1025.684204;1233.206421;1233.206421;37539999450;22196.730469;22642.671875;20178.376953;22572.839844;22572.839844;54912007015
2022.06.16;118.059204;120.791641;104.630714;106.440773;106.440773;108453661;1233.603516;1246.140625;1058.784546;1067.730713;1067.730713;18907671369;22576.304688;22868.921875;20265.226563;20381.650391;20381.650391;31183975654
2022.06.17;106.475281;116.155891;106.174942;114.311501;114.311501;105637682;1067.987671;1112.471558;1060.867676;1086.519287;1086.519287;14591486540;20385.718750;21243.312500;20326.519531;20471.482422;20471.482422;27132421514
2022.06.18;114.310158;115.362480;97.233368;104.183105;104.183105;119829720;1086.377930;1095.166870;896.109009;993.636780;993.636780;21655406608;20473.425781;20736.041016;17708.623047;19017.642578;19017.642578;42009436760
2022.06.19;104.146851;114.928871;100.247345;114.216995;114.216995;101230757;993.400635;1142.340820;943.116333;1127.656494;1127.656494;21795481981;19010.902344;20683.822266;18067.152344;20553.271484;20553.271484;35329942625
2022.06.20;114.201447;117.624573;108.784470;117.297623;117.297623;91092102;1127.656250;1159.985352;1066.113159;1127.642456;1127.642456;19739691429;20553.371094;20913.322266;19689.169922;20599.537109;20599.537109;30818458597
2022.06.21;117.476242;124.922676;115.887138;118.797272;118.797272;96177268;1127.511841;1185.432495;1112.572632;1124.824585;1124.824585;15632089439;20594.294922;21620.628906;20415.062500;20710.597656;20710.597656;28970212744
2022.06.22;118.842255;118.877930;111.175003;111.175003;111.175003;70776491;1125.372925;1126.261719;1049.763306;1051.421875;1051.421875;15010593493;20719.414063;20835.750000;19848.078125;19987.029297;19987.029297;28574793478
2022.06.23;111.162643;122.716476;110.992081;122.696388;122.696388;65743632;1051.329346;1146.494263;1050.219604;1143.386719;1143.386719;14657862919;19986.607422;21135.761719;19950.117188;21085.876953;21085.876953;26188097173
2022.06.24;122.661652;128.667938;122.593842;126.465096;126.465096;77979509;1143.204712;1238.616943;1134.514038;1226.844727;1226.844727;16981552654;21084.648438;21472.917969;20777.511719;21231.656250;21231.656250;24957784918
2022.06.25;126.483200;127.972267;121.127563;127.481865;127.481865;63867278;1226.724731;1246.394287;1184.562012;1243.446899;1243.446899;12481946184;21233.609375;21520.914063;20964.585938;21502.337891;21502.337891;18372538715
2022.06.26;127.427315;133.788010;125.324242;125.324242;125.324242;73740343;1242.987549;1272.131226;1199.406372;1199.831665;1199.831665;12096607824;21496.494141;21783.724609;21016.269531;21027.294922;21027.294922;18027170497
2022.06.27;125.314545;130.496338;120.377602;120.390953;120.390953;82580078;1199.713135;1234.180786;1179.792480;1193.680664;1193.680664;12492225250;21028.238281;21478.089844;20620.199219;20735.478516;20735.478516;20965695707
